datasales;kod;kolichestvo
2022-01-21;ЦБ018737;1.0
2022-01-21;ЦБ018745;1.0
2022-01-21;ЦБ018754;-1.0
2022-01-21;ЦБ018788;2.0
2022-01-21;ЦБ019317;1.0
2022-01-21;ЦБ019703;4.0
2022-01-21;ЦБ019719;1.0
2022-01-21;ЦБ019720;1.0
2022-01-21;ЦБ019723;1.0
2022-01-21;ЦБ019996;1.0
2022-01-21;ЦБ020599;1.0
2022-01-21;ЦБ020783;1.0
2022-01-21;ЦБ020917;2.0
2022-01-21;ЦБ021477;1.0
2022-01-21;ЦБ021543;2.0
2022-01-21;ЦБ021875;1.0
2022-01-21;ЦБ022053;1.0
2022-01-21;ЦБ022320;1.0
2022-01-21;ЦБ022396;1.0
2022-01-21;ЦБ022539;1.0
2022-01-21;ЦБ022540;1.0
2022-01-21;ЦБ022817;4.0
2022-01-21;ЦБ023131;1.0
2022-01-21;ЦБ023142;1.0
2022-01-22;00000003;27.0
2022-01-22;ЦБ000320;2.0
2022-01-22;ЦБ000668;1.0
2022-01-22;ЦБ001267;1.0
2022-01-22;ЦБ001468;1.0
2022-01-22;ЦБ003381;1.0
2022-01-22;ЦБ006389;1.0
2022-01-22;ЦБ007244;1.0
2022-01-22;ЦБ007245;2.0
2022-01-22;ЦБ008585;1.0
2022-01-22;ЦБ009274;1.0
2022-01-22;ЦБ010174;1.0
2022-01-22;ЦБ010453;1.0
2022-01-22;ЦБ010792;2.0
2022-01-22;ЦБ011091;1.0
2022-01-22;ЦБ011478;1.0
2022-01-22;ЦБ011544;1.0
2022-01-22;ЦБ011545;1.0
2022-01-22;ЦБ011603;1.0
2022-01-22;ЦБ012747;4.0
2022-01-22;ЦБ013316;2.0
2022-01-22;ЦБ013535;2.0
2022-01-22;ЦБ014536;1.0
2022-01-22;ЦБ017204;2.0
2022-01-22;ЦБ017716;1.0
2022-01-22;ЦБ018202;1.0
2022-01-22;ЦБ018346;1.0
2022-01-22;ЦБ018409;1.0
2022-01-22;ЦБ018576;1.0
2022-01-22;ЦБ019326;5.0
2022-01-22;ЦБ020782;1.0
2022-01-22;ЦБ021335;1.0
2022-01-22;ЦБ021385;1.0
2022-01-22;ЦБ022374;16.0
