kod,рЕЙСЫХИ ЛЕЯЪЖ,prev sells,prev-1 sells,prev-2 sells,prev-3 sells,prev-4 sells,prev-5 sells,prev-6 sells,prev-7 sells,prev-8 sells,prev-9 sells,prev-10 sells,prev-11 sells,prev-12 sells,prev-13 sells,prev-14 sells,prev-15 sells,prev-16 sells,prev-17 sells,prev-18 sells,oldest sells,гЮ ЦНД
жа013668   ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
жа013671   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
жа013672   ,0,3,2,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,8
жа013674   ,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
жа013688   ,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
жа013689   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013694   ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
жа013697   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013699   ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
жа013703   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013704   ,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,3
жа013705   ,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2
жа013707   ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
жа013708   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013712   ,0,0,0,3,0,0,0,0,2,2,0,1,0,2,2,2,0,0,0,0,0,10
жа013714   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0
жа013715   ,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,3
жа013716   ,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
жа013717   ,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2
жа013724   ,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
жа013725   ,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
жа013726   ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013727   ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
жа013728   ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
жа013732   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013734   ,0,3,0,3,3,1,2,2,0,3,3,2,0,2,0,0,1,1,1,0,3,24
жа013743   ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
жа013748   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013755   ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
жа013756   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013757   ,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
жа013760   ,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
жа013765   ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
жа013766   ,0,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,6
жа013767   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
жа013768   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013769   ,0,1,1,1,1,0,0,0,1,0,0,1,2,0,0,1,2,2,0,0,0,8
жа013774   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013777   ,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
жа013783   ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
жа013784   ,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
жа013786   ,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
жа013787   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013788   ,4,4,2,5,4,1,0,0,0,0,0,14,0,0,0,0,4,0,6,0,0,30
жа013792   ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
жа013793   ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
жа013796   ,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,3
жа013799   ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
жа013801   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013802   ,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
жа013806   ,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
жа013808   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013815   ,4,0,10,4,0,-4,4,4,0,8,4,0,0,4,4,6,0,0,0,4,0,34
жа013820   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
жа013821   ,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,4
жа013845   ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
жа013846   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
жа013850   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013852   ,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,600
жа013854   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
жа013855   ,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,4
