kod;artikul;proizvoditel;edizm;datasozdanija;roditel;osnsklad;zakazy_sklad;tsenazakup;tsenarozn;gruppa_analogov;type_detail
00002943;N0438092;VAG;шт;2022-02-02;0;0;0;98.81;100.0;;кольцо уплотнительное
00002944;02E305051C;0;шт;2022-02-02;0;0;0;1050.32;1080.0;;фильтр масляный
00002945;0553290631;KGS;шт;2022-02-02;Кузов;1;0;453.0;950.0;QA3Q8ERIUF;амортизатор двери багажника
00002946;543104A500;HyundaiKia;шт;2022-02-02;Передняя подвеска;3;0;944.0;3310.0;OK0RE2E1A2;амортизатор передний масляный
00002947;EX546611F000;Mando;шт;2022-02-02;Передняя подвеска;0;0;3877.47;7510.0;;амортизатор передний масляный
00002948;0K072A34710B;HyundaiKia;шт;2022-02-02;Передняя подвеска;3;0;2298.0;4520.0;;амортизатор передний
00002949;546303E100;HyundaiKia;шт;2022-02-02;Передняя подвеска;3;0;2450.0;6255.0;Z1HMUWKAD4;амортизатор передний
00002950;EX543005A200;Mando;шт;2022-02-02;Передняя подвеска;2;0;546.0;3580.0;;амортизатор передний масляный
00002951;553512F300;HyundaiKia;шт;2022-02-02;Задняя подвеска;1;0;1575.0;7570.0;IOLOGO3A65;амортизатор задний
00002952;437004B070;HyundaiKia;шт;2022-02-03;Коробка передач;0;0;8405.0;11000.0;;рычаг переключения передач
00002953;319704F101;HyundaiKia;шт;2022-02-03;Топливная система;0;0;10869.0;14000.0;;фильтр топливный
00002954;117051530C;AA;компл;2022-02-06;Шатунно-поршневая группа;1;0;1150.0;6255.0;HFRKKJ910S;вкладыши коренные
00002955;0VNY111SFX;AA;компл;2022-02-06;Шатунно-поршневая группа;1;0;475.0;1350.0;I8S2XOA1YS;вкладыши шатунные
00002956;M312A025;AA;компл;2022-02-06;Шатунно-поршневая группа;1;0;485.0;2065.0;DIK49SD5AW;вкладыши коренные
00002957;M312A050;AA;компл;2022-02-06;Шатунно-поршневая группа;1;0;485.0;2065.0;B4PH5NNYA5;вкладыши коренные
00002958;R312A025;AA;компл;2022-02-06;Шатунно-поршневая группа;1;0;350.0;1705.0;Q5TD2CAH6Y;вкладыши шатунные
00002959;R312A050;AA;компл;2022-02-06;Шатунно-поршневая группа;1;0;350.0;1705.0;SX75GX1I9K;вкладыши шатунные
00002960;0K7Y011SF0a;AA;компл;2022-02-06;Шатунно-поршневая группа;2;0;420.0;1080.0;LH8U238ZM1;вкладыши шатунные
00002961;0K7Y011SF0;HyundaiKia;компл;2022-02-06;Шатунно-поршневая группа;0;0;420.0;1260.0;LH8U238ZM1;вкладыши шатунные
00002962;0K7Y011SFYa;AA;компл;2022-02-06;Шатунно-поршневая группа;4;0;325.0;1080.0;3CRMH02VYM;вкладыши шатунные
00002963;0K7Y011SFYh;H.S.;компл;2022-02-06;Шатунно-поршневая группа;1;0;325.0;1080.0;3CRMH02VYM;вкладыши шатунные
00002964;0K7Y011SHY;AA;компл;2022-02-06;Шатунно-поршневая группа;4;0;400.0;1350.0;IOCQFEWI3I;вкладыши коренные
00002965;0K7Y011SHYh;H.S.;компл;2022-02-06;Шатунно-поршневая группа;2;0;400.0;1350.0;IOCQFEWI3I;вкладыши коренные
00002966;0K7YO11SHX;KFM;компл;2022-02-06;Шатунно-поршневая группа;5;0;400.0;1350.0;KNG3R80E2O;вкладыши коренные
00002967;0K7Y011SGO;HyundaiKia;компл;2022-02-06;Шатунно-поршневая группа;0;0;400.0;1530.0;CL0SBZK305;вкладыши коренные
00002968;0K7Y011SHO;AA;компл;2022-02-06;Шатунно-поршневая группа;3;0;525.0;1350.0;VLUXE4KVH1;вкладыши коренные
00002969;0K7Y011SHOh;H.S.;компл;2022-02-06;Шатунно-поршневая группа;1;0;525.0;1350.0;VLUXE4KVH1;вкладыши коренные
