,kod,data,kolichestvo
183,ЦБ007190,2022-01-17 16:55:58,1
184,ЦБ023038,2022-01-17 16:55:58,2
186,ЦБ010535,2022-01-17 16:55:58,10
187,ЦБ022876,2022-01-17 16:55:58,20
189,ЦБ007458,2022-01-18 14:40:59,4
190,ЦБ005147,2022-01-18 14:40:59,2
194,ЦБ014659,2022-01-18 14:45:48,5
196,ЦБ022807,2022-02-01 17:11:24,2
197,00002904,2022-01-18 15:28:03,2
200,ЦБ020858,2022-02-01 17:11:24,6
201,ЦБ010100,2022-02-01 17:11:24,3
202,ЦБ018589,2022-01-18 15:58:55,3
204,ЦБ011559,2022-01-18 16:00:36,4
205,ЦБ010094,2022-01-18 16:00:36,3
206,ЦБ020131,2022-01-18 16:00:36,2
207,ЦБ005891,2022-01-18 16:02:44,3
208,ЦБ001739,2022-01-18 16:02:44,4
209,ЦБ022778,2022-01-20 09:45:52,4
213,ЦБ002870,2022-01-19 15:12:41,2
214,ЦБ001557,2022-01-19 15:09:12,8
216,ЦБ022232,2022-01-19 15:09:12,1
217,ЦБ018393,2022-01-19 15:09:12,1
218,ЦБ017716,2022-01-19 15:09:12,2
219,ЦБ018748,2022-01-19 15:09:12,2
220,ЦБ018753,2022-01-19 15:09:12,5
221,ЦБ002183,2022-01-19 15:09:12,1
222,ЦБ006738,2022-01-19 15:07:18,1
223,ЦБ002250,2022-03-22 12:14:12,10
224,ЦБ002553,2022-01-19 15:07:18,1
227,ЦБ017696,2022-01-19 12:23:49,4
228,ЦБ016072,2022-01-19 12:23:49,1
230,ЦБ005636,2022-01-19 12:23:49,2
231,ЦБ021412,2022-01-19 12:23:49,1
232,ЦБ023146,2022-01-19 12:23:49,1
233,ЦБ005212,2022-01-19 12:23:49,1
234,00002908,2022-01-19 12:23:49,2
235,ЦБ021832,2022-01-19 12:23:49,1
236,ЦБ021477,2022-01-19 12:23:49,2
238,ЦБ018788,2022-01-19 12:23:49,3
240,ЦБ010781,2022-01-19 12:23:49,2
241,ЦБ021319,2022-01-19 12:23:49,2
244,ЦБ021648,2022-01-19 12:23:49,3
245,ЦБ005788,2022-01-19 12:23:49,2
246,ЦБ003885,2022-01-19 16:24:39,4
247,ЦБ019931,2022-01-19 16:24:39,2
248,ЦБ019217,2022-01-19 16:24:39,1
250,ЦБ010453,2022-01-19 16:24:39,1
251,ЦБ009380,2022-01-19 16:24:39,20
252,00002909,2022-01-19 16:24:39,2
253,ЦБ017517,2022-01-19 16:24:39,1
255,ЦБ017548,2022-01-19 16:25:21,1
258,ЦБ009468,2022-01-19 16:25:21,3
260,ЦБ023486,2022-01-19 16:25:21,1
262,ЦБ021092,2022-01-19 16:25:21,1
266,ЦБ020250,2022-01-20 14:02:00,1
267,ЦБ017716,2022-01-20 14:02:00,4
268,ЦБ023101,2022-01-20 14:02:00,1
269,ЦБ023100,2022-01-20 14:02:00,1
270,ЦБ002708,2022-01-20 16:01:11,4
271,ЦБ016923,2022-01-20 16:01:11,1
273,ЦБ010740,2022-01-20 16:01:11,1
274,ЦБ013067,2022-01-20 16:01:11,4
277,ЦБ015749,2022-01-20 16:01:11,2
278,ЦБ018229,2022-01-20 16:01:11,1
279,ЦБ023050,2022-01-21 16:35:07,1
281,ЦБ003852,2022-01-21 16:35:07,1
282,ЦБ002793,2022-01-21 16:35:07,2
284,ЦБ009683,2022-01-21 16:35:07,8
285,ЦБ021543,2022-01-21 12:54:00,2
286,ЦБ008058,2022-01-21 12:54:00,2
287,ЦБ008073,2022-01-21 12:54:00,1
288,ЦБ022539,2022-01-21 12:54:00,2
290,00002913,2022-01-21 12:40:42,2
291,ЦБ021191,2022-01-21 12:40:42,1
293,ЦБ005129,2022-01-21 12:40:42,1
294,ЦБ022961,2022-01-21 12:40:42,1
296,ЦБ022092,2022-01-21 12:40:42,2
297,ЦБ008979,2022-01-21 12:40:42,4
298,ЦБ008379,2022-01-21 12:40:42,4
299,ЦБ001735,2022-01-21 12:40:42,4
300,ЦБ017132,2022-01-21 12:40:42,4
302,ЦБ004059,2022-02-01 17:11:24,2
304,ЦБ001906,2022-02-14 15:20:46,2
