,kod,data,kolichestvo
4999,ЦБ018892,2022-10-17 15:47:21,1
5001,ЦБ016812,2022-10-17 15:47:21,2
5003,ЦБ018419,2022-11-07 16:52:47,5
5007,ЦБ005155,2022-08-04 11:58:08,2
5008,00003637,2022-08-04 11:58:08,1
5011,ЦБ017204,2022-08-02 12:41:17,2
5013,ЦБ005646,2022-08-02 12:41:17,4
5014,ЦБ005600,2022-08-02 12:41:17,2
5015,ЦБ015279,2022-08-02 12:41:17,5
5016,ЦБ003475,2022-08-02 12:41:17,2
5017,ЦБ021477,2022-08-02 12:41:17,2
5018,ЦБ011036,2022-08-02 12:41:17,2
5019,ЦБ023200,2022-08-02 12:41:17,3
5020,ЦБ021610,2022-08-02 12:41:17,3
5021,ЦБ013517,2022-08-02 12:41:17,1
5023,ЦБ020812,2022-08-02 12:41:17,1
5024,ЦБ013013,2022-08-08 12:47:57,8
5025,00003690,2022-08-22 15:26:38,2
5026,ЦБ003483,2022-08-22 15:26:38,1
5027,ЦБ004404,2023-03-21 15:59:15,1
5029,ЦБ020191,2022-08-04 11:58:08,2
5031,ЦБ017503,2022-08-04 16:36:39,1
5032,ЦБ020519,2022-08-04 16:36:39,1
5037,ЦБ016256,2022-08-02 12:43:18,4
5038,ЦБ018580,2022-08-04 17:33:40,1
5039,ЦБ020122,2022-08-04 17:33:40,2
5041,ЦБ022023,2022-08-05 14:11:36,8
5042,ЦБ014262,2022-08-05 14:11:36,1
5043,ЦБ016224,2022-08-05 14:11:36,10
5044,ЦБ019724,2022-08-05 14:11:36,3
5045,ЦБ021567,2022-08-05 14:11:36,1
5046,ЦБ021871,2022-08-05 14:11:36,2
5047,00003067,2022-08-05 14:11:36,4
5048,ЦБ011230,2022-08-05 14:11:36,1
5049,ЦБ010649,2022-08-05 14:11:36,1
5050,ЦБ018224,2022-08-05 14:11:36,1
5051,00003547,2022-08-05 14:14:32,1
5052,00003232,2022-08-05 14:14:32,1
5053,ЦБ018745,2022-08-05 14:15:28,3
5054,ЦБ023251,2022-08-05 14:16:33,1
5055,00003254,2022-08-05 14:17:47,3
5056,ЦБ022391,2023-03-21 15:59:15,1
5057,ЦБ002750,2023-03-30 14:41:48,4
5058,ЦБ010729,2023-03-30 14:41:48,2
5059,ЦБ004866,2023-03-30 14:41:48,1
5060,00003563,2023-03-31 11:37:01,2
5061,ЦБ022255,2023-03-31 11:37:01,2
5062,00004347,2023-03-31 11:37:01,2
5063,ЦБ001338,2022-08-04 17:34:26,5
5064,ЦБ019681,2022-08-05 14:18:48,2
5065,ЦБ018448,2023-03-31 11:37:01,4
5066,00003643,2022-08-08 12:04:33,1
5067,00003644,2022-08-08 12:04:33,1
5068,00003645,2022-08-08 12:04:33,1
5069,ЦБ018575,2023-03-31 11:37:01,2
5070,ЦБ021868,2023-03-31 11:37:01,1
5071,ЦБ012361,2022-08-08 12:47:57,2
5072,ЦБ006565,2022-08-08 12:47:57,1
5073,00003499,2022-08-08 12:47:57,2
5074,ЦБ018659,2022-08-08 12:47:57,3
5075,ЦБ002812,2022-08-08 12:47:57,2
5076,ЦБ021924,2022-08-08 12:47:57,8
5077,ЦБ018017,2022-08-08 12:47:57,4
5078,ЦБ021595,2022-08-08 12:47:57,1
5079,ЦБ013788,2022-08-02 16:35:31,16
5080,ЦБ017075,2022-08-02 16:35:31,4
5082,ЦБ012580,2022-08-02 16:35:31,2
5083,ЦБ004070,2022-08-02 16:35:31,4
5084,ЦБ011211,2022-08-02 16:35:31,1
5085,ЦБ019668,2022-08-02 16:35:31,1
5086,ЦБ015951,2022-08-02 16:35:31,10
5087,ЦБ010946,2022-08-02 16:35:31,10
5088,ЦБ006625,2022-08-02 16:35:31,5
5090,ЦБ010352,2022-08-02 16:35:31,1
5091,ЦБ008031,2022-08-02 16:35:31,2
5092,ЦБ010535,2022-08-02 16:35:31,20
5093,ЦБ017271,2022-08-02 16:35:31,3
5094,00003067,2022-08-08 12:47:57,4
5096,ЦБ019259,2022-08-02 16:35:31,16
5097,ЦБ010536,2022-08-02 16:35:31,5
5098,ЦБ020305,2022-08-02 16:35:31,2
5099,ЦБ018315,2022-08-02 16:35:31,20
5100,ЦБ016308,2022-08-02 16:35:31,50
5101,ЦБ010556,2022-08-02 16:35:31,6
5104,ЦБ022497,2022-08-22 16:49:59,1
5105,ЦБ010669,2022-10-17 15:48:54,3
5106,ЦБ021765,2022-08-05 16:57:32,1
5107,ЦБ021766,2022-08-05 16:57:32,1
5110,ЦБ021378,2022-08-08 12:05:35,2
5111,ЦБ001333,2022-08-08 12:06:42,1
5112,ЦБ019543,2022-08-08 12:06:42,1
5113,00003646,2022-08-08 12:06:42,1
5115,ЦБ013067,2022-08-08 12:47:57,1
5117,ЦБ023280,2022-08-08 12:47:57,2
5118,ЦБ004059,2022-08-08 12:47:57,3
5119,ЦБ020187,2022-08-08 12:47:57,3
5120,ЦБ015754,2022-08-08 12:47:57,1
5122,00003068,2022-08-22 16:49:03,4
5123,ЦБ019910,2022-08-22 15:26:06,1
5124,ЦБ002793,2022-08-22 15:26:06,1
5125,ЦБ001068,2022-08-04 12:39:26,5
5126,ЦБ020198,2022-08-04 12:39:26,2
5127,ЦБ018302,2022-08-04 12:39:26,1
5128,ЦБ007953,2022-08-04 12:39:26,9
5129,ЦБ019105,2022-08-04 12:39:26,2
5130,00003599,2022-07-28 11:59:50,1
5131,00003600,2022-07-28 11:59:50,1
5132,ЦБ019311,2022-07-28 11:59:50,2
5133,ЦБ001540,2022-07-28 12:01:17,1
5135,ЦБ018738,2022-07-28 12:01:17,2
5136,ЦБ001735,2022-07-28 12:01:17,3
5138,ЦБ022259,2022-07-28 12:03:12,1
5139,ЦБ017096,2022-07-28 12:03:12,1
5140,ЦБ014917,2022-08-04 12:39:26,1
5141,ЦБ018788,2022-08-04 12:39:26,1
5142,ЦБ019645,2022-08-04 12:39:26,1
5143,ЦБ015151,2022-08-04 12:39:26,2
5145,ЦБ003473,2022-08-02 17:31:36,1
5148,ЦБ016964,2022-08-02 17:34:12,2
5149,00003622,2022-08-02 17:34:12,2
5150,ЦБ002812,2022-08-22 15:26:06,4
5153,ЦБ017941,2022-07-28 12:41:50,2
5154,ЦБ013458,2022-07-28 12:41:50,2
5155,ЦБ007458,2022-07-28 12:41:50,3
5156,ЦБ008159,2022-07-28 12:41:50,2
5157,ЦБ021325,2022-07-28 12:41:50,4
5158,ЦБ016894,2022-07-28 12:41:50,2
5159,ЦБ010756,2022-07-28 12:41:50,1
5162,ЦБ023200,2022-07-28 12:41:50,1
5163,ЦБ021319,2022-07-28 12:41:50,2
5164,ЦБ010264,2022-07-28 12:41:50,1
5166,ЦБ012720,2022-07-28 12:43:00,1
5168,ЦБ017301,2022-07-28 12:43:44,1
5169,ЦБ011542,2022-08-22 15:26:06,1
5170,ЦБ022396,2022-07-28 14:12:53,1
5171,ЦБ018619,2022-07-28 14:12:53,4
5172,ЦБ016479,2022-07-28 14:12:53,1
5174,ЦБ022810,2022-07-28 14:12:53,2
5175,ЦБ022830,2022-07-28 14:12:53,2
5176,ЦБ002103,2022-07-28 14:12:53,2
5177,ЦБ019309,2022-07-28 14:12:53,1
5178,ЦБ010759,2022-07-28 14:12:53,3
5179,ЦБ015528,2022-07-28 14:14:30,1
5180,ЦБ010729,2022-08-22 15:26:06,1
5181,ЦБ011426,2022-08-04 12:39:26,1
5185,ЦБ017341,2022-09-23 15:56:05,1
5186,00003194,2022-09-23 15:56:05,2
5187,ЦБ018555,2022-10-17 11:01:07,4
5190,ЦБ023571,2022-07-28 15:57:43,1
5191,ЦБ023182,2022-07-28 15:57:43,1
5192,ЦБ003485,2022-07-28 15:57:43,3
5193,ЦБ018624,2022-07-28 15:57:43,4
5194,ЦБ020089,2022-07-28 15:59:17,3
5195,ЦБ019309,2022-07-28 15:59:53,1
5196,ЦБ023227,2022-08-02 17:29:47,2
5197,ЦБ004708,2022-08-02 17:29:47,2
5198,00003468,2022-08-02 17:29:47,5
5201,ЦБ023377,2022-08-03 16:37:23,1
5203,ЦБ021519,2022-08-03 16:37:23,2
5204,ЦБ023506,2022-08-03 16:37:23,1
5205,ЦБ023290,2022-08-03 16:37:23,1
5206,ЦБ020951,2022-08-03 16:37:23,16
5207,00003632,2022-08-03 16:37:23,1
5208,ЦБ022928,2022-08-03 16:37:23,3
5209,00003533,2022-08-03 16:37:23,20
5210,ЦБ001978,2022-08-03 16:39:15,1
5211,ЦБ022790,2022-08-03 16:39:15,2
5212,ЦБ023029,2022-08-03 16:39:15,2
5213,ЦБ012404,2022-08-02 17:35:02,1
5215,ЦБ021543,2022-07-28 17:17:45,4
5219,ЦБ022539,2022-07-28 17:17:45,1
5222,00003323,2022-07-28 17:20:07,1
5223,00003324,2022-07-28 17:20:07,1
5224,00003610,2022-07-28 17:20:07,1
5225,00003611,2022-07-28 17:20:07,1
5226,ЦБ018352,2022-07-28 17:20:07,2
5227,ЦБ018748,2022-07-27 15:49:23,5
5229,ЦБ001735,2022-07-27 15:49:23,2
5230,ЦБ022115,2022-07-27 15:47:29,2
5231,ЦБ012403,2022-08-02 17:35:02,1
5233,ЦБ003092,2022-08-03 16:37:46,2
5234,ЦБ015835,2022-07-27 15:46:54,2
5235,ЦБ020637,2022-07-27 15:48:48,2
5236,ЦБ005600,2022-07-27 15:48:48,2
5237,ЦБ005602,2022-07-27 15:48:48,2
5238,ЦБ021419,2022-07-27 15:48:48,4
5239,ЦБ021610,2022-07-27 15:48:48,2
5240,ЦБ011091,2022-07-27 15:43:26,20
5241,ЦБ005600,2022-07-27 15:43:26,1
5242,ЦБ021675,2022-07-27 15:43:26,3
5244,ЦБ003059,2022-07-27 15:43:26,4
5245,ЦБ002360,2022-07-27 15:43:26,1
5246,ЦБ002361,2022-07-27 15:43:26,1
5248,00003595,2022-07-27 15:43:26,4
5249,ЦБ012880,2022-07-27 15:43:26,4
5250,ЦБ011316,2022-07-27 15:43:26,3
5252,ЦБ021946,2022-07-27 15:43:26,4
5254,ЦБ021378,2022-07-27 15:43:26,4
5255,ЦБ000045,2022-07-27 15:43:26,2
5256,ЦБ011878,2022-07-27 15:43:26,2
5257,ЦБ001759,2022-07-27 15:43:26,2
5258,ЦБ001777,2022-07-27 15:43:26,2
5259,ЦБ010478,2022-07-27 15:43:26,3
5260,ЦБ018448,2022-07-27 12:21:32,4
5261,ЦБ020267,2022-08-02 17:36:12,1
5262,ЦБ019310,2022-07-27 12:23:14,5
5263,ЦБ018372,2022-07-27 12:22:15,2
5264,ЦБ018373,2022-07-27 12:22:15,5
5266,ЦБ004884,2022-08-02 17:36:12,8
5267,00003623,2022-08-02 17:36:12,2
5268,ЦБ022153,2022-08-02 17:36:12,1
5269,ЦБ019309,2022-08-02 17:36:12,2
5270,ЦБ003179,2022-08-02 17:36:12,4
5271,ЦБ020162,2022-08-02 17:36:56,4
5272,ЦБ018836,2022-08-02 17:36:56,10
5273,ЦБ023579,2022-08-03 16:41:24,1
5274,ЦБ007390,2022-08-03 16:40:56,2
5275,ЦБ008934,2022-08-03 16:40:56,1
5276,ЦБ023580,2022-08-03 16:03:37,4
5278,00003597,2022-07-27 15:42:15,1
5279,ЦБ017359,2022-07-27 15:42:15,1
5280,ЦБ018659,2022-07-27 15:49:09,2
5282,ЦБ018748,2022-07-27 15:49:09,20
5283,00003132,2022-08-02 17:51:27,10
5285,ЦБ018559,2022-08-03 16:03:37,2
5287,ЦБ013315,2022-08-03 16:03:37,4
5293,ЦБ018381,2022-07-29 10:12:19,4
5294,ЦБ018418,2022-07-29 10:12:19,2
5295,ЦБ018419,2022-07-29 10:12:19,10
5296,ЦБ023251,2022-07-29 10:12:19,1
5299,ЦБ010111,2022-08-03 16:03:37,1
5300,ЦБ020945,2022-08-03 16:03:37,1
5303,00003727,2022-09-23 15:57:21,1
5304,00003800,2022-09-23 15:55:45,10
5305,ЦБ022396,2022-09-23 15:55:45,1
5306,ЦБ013045,2022-09-23 15:55:45,4
5307,ЦБ012880,2022-09-23 15:55:45,4
5308,ЦБ018726,2022-09-23 15:55:45,1
5310,ЦБ017324,2022-09-23 15:55:45,1
5311,00003802,2022-09-23 17:03:06,20
5312,00003803,2022-09-23 17:03:06,20
5313,ЦБ022393,2022-10-17 16:22:30,2
5314,ЦБ018378,2022-10-17 11:01:07,2
5315,ЦБ005646,2022-10-17 11:01:07,2
5316,ЦБ017820,2022-10-17 11:01:07,2
5317,ЦБ016816,2022-10-17 11:01:07,1
5318,ЦБ010625,2022-08-03 16:03:37,2
5319,ЦБ021046,2022-08-03 16:03:37,1
5321,ЦБ021130,2022-08-03 16:03:37,1
5322,ЦБ016382,2022-08-03 16:03:37,2
5323,ЦБ011836,2022-08-03 16:03:37,10
5324,ЦБ018215,2022-08-05 12:26:06,1
5327,ЦБ022925,2022-08-08 14:24:25,1
5329,ЦБ016818,2022-10-17 11:01:07,2
5331,ЦБ022153,2022-10-17 11:01:07,1
5332,ЦБ018723,2022-10-17 11:01:07,2
5333,ЦБ021463,2022-08-08 15:18:19,2
5334,ЦБ021595,2022-08-08 15:18:19,3
5336,ЦБ001773,2022-08-08 17:59:39,2
5337,ЦБ000045,2022-10-17 11:01:07,2
5338,ЦБ022092,2022-10-17 11:00:49,1
5339,ЦБ022916,2022-10-17 11:00:49,1
5340,ЦБ018747,2022-08-25 16:57:34,10
5342,ЦБ002360,2022-08-26 12:18:50,1
5343,ЦБ002361,2022-08-26 12:18:50,1
5344,ЦБ005891,2022-08-26 12:18:50,1
5347,00003523,2022-11-07 17:05:07,1
5349,ЦБ015782,2022-08-09 12:09:20,2
5350,ЦБ023343,2022-08-09 12:09:20,1
5351,ЦБ021233,2022-08-09 12:09:20,1
5353,ЦБ020705,2022-08-09 12:09:20,2
5355,ЦБ012880,2022-08-09 12:09:20,4
5356,ЦБ001759,2022-08-09 12:09:20,4
5357,ЦБ017132,2022-08-09 12:09:20,2
5358,ЦБ015066,2022-08-09 12:11:11,1
5361,ЦБ022046,2022-08-09 12:11:11,1
5362,ЦБ006644,2022-08-09 12:11:11,2
5363,00003653,2022-08-09 12:11:11,1
5364,ЦБ009131,2022-08-09 12:11:11,1
5367,ЦБ013821,2022-08-09 12:12:15,3
5369,ЦБ009504,2022-08-09 12:12:15,2
5370,ЦБ021854,2022-08-09 12:12:15,1
5371,ЦБ010175,2022-11-07 17:06:02,1
5372,ЦБ021467,2022-08-09 12:29:16,2
5373,ЦБ021233,2022-09-12 14:49:04,1
5374,ЦБ001950,2022-09-12 14:49:04,1
5376,ЦБ019266,2022-08-08 12:27:37,1
5377,ЦБ019225,2022-08-08 12:27:37,1
5378,ЦБ021362,2022-08-09 16:34:46,2
5382,ЦБ023102,2022-08-09 16:34:46,10
5383,ЦБ021612,2022-08-09 16:36:37,1
5384,ЦБ021946,2022-08-26 12:18:50,7
5386,ЦБ019310,2022-08-09 16:34:46,5
5388,ЦБ018745,2022-08-24 17:10:51,2
5389,ЦБ018749,2022-08-09 16:37:33,2
5390,ЦБ017132,2022-08-09 16:38:17,4
5391,ЦБ020433,2022-11-07 17:06:02,2
5394,ЦБ022826,2022-09-12 12:12:22,2
5395,ЦБ023043,2022-09-12 12:12:22,1
5396,ЦБ018718,2022-09-12 12:12:50,1
5397,ЦБ018736,2022-09-12 12:12:50,2
5398,ЦБ002362,2022-08-25 17:32:02,5
5402,ЦБ006852,2022-09-12 12:12:02,1
5403,ЦБ007271,2022-09-12 12:12:02,2
5404,ЦБ002673,2022-09-12 12:12:02,2
5405,ЦБ022366,2022-09-12 12:12:02,1
5406,ЦБ001777,2022-09-12 12:12:02,1
5407,ЦБ005787,2022-09-12 12:12:02,1
5408,ЦБ019719,2022-08-09 16:36:37,1
5409,ЦБ010722,2022-08-09 16:36:37,2
5410,ЦБ004935,2022-08-24 17:10:51,1
5411,ЦБ018738,2022-08-09 16:36:37,1
5412,00003934,2022-11-07 17:06:02,10
5415,ЦБ018723,2022-08-09 16:55:57,2
5416,ЦБ021042,2022-08-23 12:58:33,1
5417,ЦБ004070,2022-08-23 12:58:33,2
5418,ЦБ021698,2022-08-23 12:58:33,2
5420,ЦБ011868,2022-08-23 12:58:33,1
5422,ЦБ019030,2022-08-23 12:58:33,1
5424,00003468,2022-08-24 17:37:48,5
5425,ЦБ017517,2022-08-24 17:37:12,1
5426,ЦБ002058,2022-08-24 17:38:36,2
5427,ЦБ019543,2022-08-24 17:38:36,1
5428,ЦБ022551,2022-08-24 17:38:36,1
5429,00002930,2022-08-24 17:38:36,2
5430,ЦБ021051,2022-08-24 17:38:36,1
5431,00003531,2022-08-23 13:59:39,1
5432,00003692,2022-08-23 13:59:39,1
5433,ЦБ021206,2022-08-23 13:59:39,1
5434,00003693,2022-08-23 13:59:39,1
5436,00003694,2022-08-23 13:59:39,1
5437,ЦБ012207,2022-08-23 13:59:39,2
5438,ЦБ018753,2022-08-23 13:59:39,1
5440,ЦБ022956,2022-08-24 17:38:09,1
5441,ЦБ023108,2022-08-24 17:38:09,1
5442,ЦБ022876,2022-08-24 17:38:09,4
5444,ЦБ003354,2022-08-24 17:38:09,2
5446,ЦБ015037,2022-09-12 12:12:37,1
5447,ЦБ020763,2022-09-12 12:12:37,1
5449,ЦБ019991,2022-08-10 14:33:04,1
5450,ЦБ006205,2022-08-10 14:33:04,10
5451,ЦБ021276,2022-08-10 14:33:04,2
5452,ЦБ019816,2022-08-10 14:33:04,2
5453,ЦБ009423,2022-08-10 14:33:04,4
5455,ЦБ021984,2022-08-10 14:33:04,2
5462,ЦБ019243,2022-08-10 14:37:37,3
5464,ЦБ019996,2022-08-10 14:37:37,1
5466,ЦБ011860,2022-08-10 14:37:37,2
5467,ЦБ004358,2022-08-10 14:37:37,1
5469,ЦБ010352,2022-08-10 14:37:37,1
5470,ЦБ002105,2022-08-10 14:37:37,1
5471,ЦБ011376,2022-08-10 14:37:37,1
5473,ЦБ009140,2022-08-10 14:37:37,2
5475,00003657,2022-08-10 14:37:37,1
5476,ЦБ016544,2022-08-10 14:37:37,2
5477,ЦБ010792,2022-08-10 14:37:37,3
5478,ЦБ010870,2022-08-10 14:37:37,2
5479,ЦБ022042,2022-08-10 14:37:37,10
5480,ЦБ002364,2022-08-10 14:37:37,2
5481,ЦБ022510,2022-08-10 14:37:37,1
5482,ЦБ018316,2022-08-10 14:37:37,1
5483,ЦБ023460,2022-08-10 14:37:37,5
5484,ЦБ022388,2022-08-10 14:40:05,4
5485,ЦБ021844,2022-08-10 14:40:05,2
5489,ЦБ018668,2022-08-10 14:41:33,1
5491,ЦБ002081,2022-08-10 14:41:33,1
5492,ЦБ022391,2022-08-10 14:41:33,2
5494,ЦБ011878,2022-08-10 14:42:55,1
5495,00003528,2022-08-24 17:10:51,1
5496,ЦБ001976,2022-08-24 17:10:51,8
5497,ЦБ017393,2022-08-24 17:10:51,4
5498,ЦБ012211,2022-08-24 17:10:51,2
5499,ЦБ020071,2022-08-10 16:56:27,2
5500,ЦБ020057,2022-08-10 16:56:27,4
5501,ЦБ011519,2022-08-10 16:57:34,16
5503,ЦБ019277,2022-09-12 12:12:37,1
5505,00003772,2022-09-15 17:04:53,4
5507,ЦБ019760,2022-08-24 17:10:51,2
5508,ЦБ003852,2022-08-24 17:10:51,1
5509,ЦБ018555,2022-08-24 17:10:51,4
5510,ЦБ018574,2022-08-24 17:10:51,2
5511,ЦБ023548,2022-08-24 17:10:51,1
5512,ЦБ018395,2022-08-24 17:10:51,3
5513,ЦБ018434,2022-08-24 17:10:51,4
5514,ЦБ010668,2022-08-24 17:10:51,3
5515,ЦБ015279,2022-08-24 17:10:51,1
5516,ЦБ004405,2022-08-24 17:10:51,1
5517,ЦБ002361,2022-08-24 17:10:51,1
5518,ЦБ023012,2022-08-24 17:10:51,2
5519,ЦБ013910,2022-08-24 17:10:51,4
5521,ЦБ018210,2022-08-24 17:10:51,2
5522,ЦБ022551,2022-08-24 17:10:51,1
5523,ЦБ015733,2022-08-24 17:10:51,1
5524,ЦБ018971,2022-08-24 17:10:51,1
5525,ЦБ007229,2022-08-24 17:10:51,2
5526,ЦБ020958,2022-08-24 17:10:51,2
5528,00003703,2022-08-24 17:10:51,4
5529,ЦБ001267,2022-09-12 15:26:05,48
5530,ЦБ005815,2022-08-11 12:52:28,4
5531,ЦБ006552,2022-08-11 12:52:28,1
5532,ЦБ005147,2022-08-11 12:52:28,2
5533,ЦБ014347,2022-08-11 12:52:28,1
5535,ЦБ020424,2022-08-11 12:52:28,1
5536,ЦБ021030,2022-08-11 12:52:28,1
5540,ЦБ020057,2022-08-24 17:10:51,2
5541,ЦБ002603,2022-08-24 17:10:51,2
5542,ЦБ021419,2022-08-24 17:10:51,2
5544,ЦБ010781,2022-08-24 17:10:51,1
5547,ЦБ018395,2022-08-11 14:22:05,1
5548,ЦБ015042,2022-08-11 14:22:05,1
5549,00003665,2022-08-11 14:22:05,1
5550,ЦБ021946,2022-08-11 14:22:05,2
5551,ЦБ000045,2022-08-24 17:10:51,2
5552,ЦБ011417,2022-08-11 14:22:05,1
5553,ЦБ023548,2022-08-11 14:23:24,1
5554,ЦБ018729,2022-08-11 14:23:24,1
5555,ЦБ018759,2022-08-11 14:23:24,1
5556,ЦБ019607,2022-08-11 14:24:06,1
5561,00003547,2022-08-11 14:48:35,1
5563,ЦБ020497,2022-08-11 14:50:23,1
5567,ЦБ017900,2022-08-11 17:49:17,1
5569,ЦБ017261,2022-08-11 17:49:17,2
5573,00003664,2022-08-11 17:49:17,1
5574,ЦБ019732,2022-08-11 17:49:17,1
5575,ЦБ019720,2022-08-11 17:49:17,1
5576,ЦБ008994,2022-08-11 17:49:17,2
5581,ЦБ012862,2022-08-23 15:31:57,1
5582,ЦБ017548,2022-08-12 14:12:42,1
5583,ЦБ009341,2022-08-23 15:31:57,4
5584,ЦБ022644,2022-08-23 15:31:57,2
5585,ЦБ001738,2022-08-24 17:10:51,1
5586,ЦБ010275,2022-08-24 17:10:51,1
5587,ЦБ018336,2022-09-07 15:09:08,1
5589,ЦБ022830,2022-08-12 15:05:11,2
5592,00003194,2022-08-12 15:05:11,2
5593,ЦБ022487,2022-08-12 15:05:57,2
5594,ЦБ005787,2022-08-24 17:10:51,1
5595,ЦБ023506,2022-08-12 15:32:40,1
5596,ЦБ022644,2022-08-12 15:32:40,1
5597,ЦБ014714,2022-08-12 15:32:40,1
5598,ЦБ022507,2022-08-12 15:32:40,2
5599,ЦБ023168,2022-08-12 15:33:23,2
5600,ЦБ018378,2022-08-23 15:33:18,1
5601,ЦБ016993,2022-08-24 11:03:40,1
5602,ЦБ011548,2022-08-24 11:03:40,1
5605,ЦБ021737,2022-11-17 16:29:54,1
5606,ЦБ001943,2022-11-17 16:29:54,1
5607,00003968,2022-11-17 16:29:54,1
5608,ЦБ003305,2022-11-17 16:29:54,2
5609,ЦБ015742,2022-11-17 16:29:54,1
5610,ЦБ011545,2022-11-17 16:29:54,3
5611,ЦБ022888,2022-08-15 17:08:39,1
5613,ЦБ010900,2022-08-15 15:32:55,1
5614,ЦБ022092,2022-08-15 15:37:41,1
5615,ЦБ001263,2022-08-15 15:37:28,1
5617,ЦБ011509,2022-08-15 15:37:28,1
5619,ЦБ022635,2022-08-15 15:37:28,20
5621,ЦБ011746,2022-08-15 15:38:08,2
5622,ЦБ020250,2022-08-15 15:38:08,2
5623,ЦБ018931,2022-08-15 15:38:08,1
5624,ЦБ004405,2022-08-15 15:38:08,2
5625,ЦБ018215,2022-08-15 15:38:08,2
5626,00003670,2022-08-15 15:38:08,2
5627,ЦБ010792,2022-08-15 15:38:08,2
5628,ЦБ003311,2022-08-15 15:38:08,1
5630,ЦБ011878,2022-08-23 15:34:04,2
5635,ЦБ018659,2022-09-07 16:09:22,1
5636,ЦБ017716,2022-08-16 11:11:54,3
5637,ЦБ003024,2022-09-07 11:30:39,1
5638,00003746,2022-09-07 11:30:39,1
5639,ЦБ020074,2022-08-24 14:24:01,1
5640,ЦБ023441,2022-08-24 16:54:21,1
5641,ЦБ016528,2022-09-15 17:04:53,2
5642,ЦБ021130,2022-09-15 17:04:53,1
5644,ЦБ008446,2022-09-15 17:04:53,2
5645,ЦБ020390,2022-08-16 11:32:47,2
5648,ЦБ015869,2022-08-16 11:32:47,3
5649,ЦБ004851,2022-08-16 11:32:47,1
5653,ЦБ010964,2022-09-15 17:04:53,2
5654,ЦБ020099,2022-09-15 17:04:53,2
5655,ЦБ021543,2022-08-23 17:38:07,2
5656,ЦБ019931,2022-09-07 16:15:52,2
5658,ЦБ022232,2022-08-16 12:31:24,2
5659,ЦБ002725,2022-08-16 12:31:24,1
5660,ЦБ019539,2022-08-16 12:31:24,2
5661,ЦБ015945,2022-08-16 12:31:24,2
5663,ЦБ022288,2022-08-16 12:31:24,1
5667,00003449,2022-08-16 12:31:24,1
5668,ЦБ018736,2022-08-16 12:31:24,1
5669,ЦБ021319,2022-08-16 12:31:24,2
5670,ЦБ001759,2022-08-16 12:31:24,3
5671,ЦБ000494,2022-09-07 16:10:13,2
5672,ЦБ022109,2022-09-07 16:10:13,2
5673,00003237,2022-09-07 16:10:13,1
5676,ЦБ020642,2022-08-16 14:11:24,1
5679,ЦБ010352,2022-08-16 14:11:24,2
5680,ЦБ018716,2022-08-16 14:11:24,2
5681,ЦБ010362,2022-08-16 14:11:24,1
5684,00003305,2022-08-16 14:13:13,1
5685,ЦБ004176,2022-09-07 16:10:13,4
5686,ЦБ004416,2022-09-07 16:10:13,1
5687,ЦБ019488,2022-09-07 16:10:13,10
5689,ЦБ003092,2022-09-07 16:10:13,2
5691,ЦБ023013,2022-08-16 16:12:43,2
5693,00003676,2022-08-16 16:13:46,16
5694,ЦБ016479,2022-08-16 16:55:53,1
5696,ЦБ017517,2022-08-16 16:55:53,1
5697,00003068,2022-09-07 16:09:07,4
5699,ЦБ007693,2022-11-15 12:48:47,1
5700,ЦБ002104,2022-11-15 12:48:58,2
5701,ЦБ002101,2022-11-15 12:49:09,2
5702,00003254,2022-11-17 16:33:40,2
5703,ЦБ011316,2022-09-19 15:25:32,2
5704,00003735,2022-09-19 15:25:32,2
5706,ЦБ004404,2022-08-29 11:37:47,1
5707,ЦБ007054,2022-08-29 11:37:47,20
5708,ЦБ023409,2022-08-29 11:37:35,1
5709,00003717,2022-08-29 16:45:06,4
5710,ЦБ007510,2022-09-07 15:09:08,2
5711,ЦБ005635,2022-09-07 15:09:08,1
5713,ЦБ006136,2022-09-07 15:09:08,4
5714,ЦБ011996,2022-09-07 15:09:08,16
5715,ЦБ011169,2022-09-07 15:09:08,2
5716,ЦБ004091,2022-09-07 15:09:08,1
5717,00003748,2022-09-07 15:09:08,1
5719,ЦБ010688,2022-09-07 15:09:08,2
5720,ЦБ017345,2022-09-07 15:09:08,1
5721,ЦБ019729,2022-09-07 15:09:08,10
5722,ЦБ019015,2022-09-07 15:09:08,2
5724,ЦБ018243,2022-09-07 15:09:08,1
5725,ЦБ009131,2022-09-07 15:09:08,2
5726,ЦБ008013,2022-09-07 15:09:08,1
5727,ЦБ010715,2022-09-07 15:09:08,4
5728,ЦБ014606,2022-09-07 15:09:08,7
5733,ЦБ009890,2022-09-07 15:09:08,1
5736,00003002,2022-09-07 16:08:28,9
5738,ЦБ017124,2022-09-07 16:08:28,4
5739,ЦБ021221,2022-08-17 15:39:32,6
5740,ЦБ020738,2022-11-15 12:50:44,4
5741,ЦБ005798,2022-11-15 12:50:44,2
5742,ЦБ014598,2022-11-15 12:50:44,2
5743,00003800,2022-11-15 12:50:44,20
5744,ЦБ016387,2022-11-15 12:50:44,1
5746,ЦБ021924,2022-11-15 12:50:44,4
5747,ЦБ019841,2022-11-15 12:50:44,1
5748,ЦБ020701,2022-11-15 12:50:44,2
5749,ЦБ021698,2022-11-15 12:50:44,2
